GAME_ID,TEAM_ID,PLAYER_ID,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,PF,PLUS_MINUS
42300401,1610612742,1627884,28:47,5.0,6.0,0.0,1.0,0.0,0.0,2.0,9.0,0.222,1.0,2.0,0.5,0.0,0.0,0.0,2.0,4.0,1.0,-12.0
42300401,1610612742,1629023,36:07,14.0,8.0,1.0,0.0,0.0,0.0,5.0,11.0,0.455,0.0,3.0,0.0,4.0,6.0,0.667,3.0,5.0,3.0,-15.0
42300401,1610612742,1629655,14:19,8.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,-10.0
42300401,1610612742,202681,36:29,12.0,3.0,2.0,2.0,0.0,3.0,6.0,19.0,0.316,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-19.0
42300401,1610612742,1629029,38:14,30.0,10.0,1.0,2.0,0.0,4.0,12.0,26.0,0.462,4.0,12.0,0.333,2.0,5.0,0.4,0.0,10.0,1.0,-10.0
42300401,1610612742,1641726,18:29,2.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,5.0,-15.0
42300401,1610612742,1630702,10:41,13.0,3.0,1.0,0.0,0.0,0.0,4.0,8.0,0.5,1.0,3.0,0.333,4.0,4.0,1.0,0.0,3.0,1.0,-3.0
42300401,1610612742,1630182,20:17,3.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-5.0
42300401,1610612742,1628467,18:40,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-15.0
42300401,1610612742,203501,7:42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42300401,1610612742,203957,5:17,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0
42300401,1610612742,203939,4:58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
42300401,1610612742,1630639,,,,,,,,,,,,,,,,,,,,
42300401,1610612742,202693,,,,,,,,,,,,,,,,,,,,
42300401,1610612742,1641765,,,,,,,,,,,,,,,,,,,,
42300401,1610612738,1627759,37:14,22.0,6.0,2.0,3.0,3.0,2.0,7.0,12.0,0.583,2.0,6.0,0.333,6.0,11.0,0.545,1.0,5.0,3.0,12.0
42300401,1610612738,1628369,42:09,16.0,11.0,5.0,0.0,1.0,6.0,6.0,16.0,0.375,3.0,7.0,0.429,1.0,2.0,0.5,2.0,9.0,1.0,19.0
42300401,1610612738,201143,29:48,10.0,7.0,3.0,0.0,2.0,0.0,4.0,8.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.0,7.0
42300401,1610612738,1628401,35:10,15.0,2.0,5.0,1.0,0.0,2.0,5.0,11.0,0.455,3.0,8.0,0.375,2.0,2.0,1.0,1.0,1.0,3.0,3.0
42300401,1610612738,201950,34:54,12.0,8.0,5.0,1.0,0.0,0.0,4.0,9.0,0.444,2.0,5.0,0.4,2.0,2.0,1.0,2.0,6.0,3.0,20.0
42300401,1610612738,204001,20:34,20.0,6.0,0.0,0.0,3.0,1.0,8.0,13.0,0.615,2.0,4.0,0.5,2.0,2.0,1.0,0.0,6.0,1.0,13.0
42300401,1610612738,1630573,16:02,8.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,17.0
42300401,1610612738,1630202,15:30,0.0,2.0,2.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0
42300401,1610612738,1628436,3:19,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-3.0
42300401,1610612738,1629052,2:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
42300401,1610612738,1629004,2:40,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
42300401,1610612738,1629674,,,,,,,,,,,,,,,,,,,,
42300401,1610612738,1630531,,,,,,,,,,,,,,,,,,,,
42300401,1610612738,1630214,,,,,,,,,,,,,,,,,,,,
42300401,1610612738,1641775,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,1627884,32:08,11.0,3.0,2.0,1.0,1.0,1.0,4.0,7.0,0.571,0.0,3.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,-5.0
42300402,1610612742,1629023,39:58,17.0,7.0,1.0,0.0,1.0,1.0,6.0,13.0,0.462,1.0,5.0,0.2,4.0,4.0,1.0,2.0,5.0,3.0,2.0
42300402,1610612742,1629655,22:43,13.0,9.0,0.0,0.0,1.0,0.0,6.0,9.0,0.667,0.0,0.0,0.0,1.0,4.0,0.25,2.0,7.0,0.0,0.0
42300402,1610612742,202681,41:27,16.0,2.0,6.0,0.0,0.0,2.0,7.0,18.0,0.389,0.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,-3.0
42300402,1610612742,1629029,42:17,32.0,11.0,11.0,4.0,0.0,8.0,12.0,21.0,0.571,4.0,9.0,0.444,4.0,8.0,0.5,0.0,11.0,1.0,-3.0
42300402,1610612742,1641726,19:01,2.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,-15.0
42300402,1610612742,1628467,16:17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0
42300402,1610612742,1630182,13:40,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.25,0.0,3.0,0.0,2.0,3.0,0.667,0.0,1.0,2.0,-10.0
42300402,1610612742,1630702,1:59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0
42300402,1610612742,203957,10:30,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
42300402,1610612742,203501,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,1630639,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,202693,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,203939,,,,,,,,,,,,,,,,,,,,
42300402,1610612742,1641765,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1627759,42:25,21.0,4.0,7.0,3.0,0.0,6.0,8.0,15.0,0.533,1.0,5.0,0.2,4.0,4.0,1.0,2.0,2.0,3.0,-3.0
42300402,1610612738,1628369,45:09,18.0,9.0,12.0,1.0,0.0,3.0,6.0,22.0,0.273,1.0,7.0,0.143,5.0,6.0,0.833,1.0,8.0,2.0,6.0
42300402,1610612738,201143,28:07,5.0,7.0,2.0,1.0,0.0,0.0,2.0,4.0,0.5,1.0,3.0,0.333,0.0,0.0,0.0,0.0,7.0,2.0,1.0
42300402,1610612738,1628401,38:05,18.0,5.0,2.0,3.0,2.0,1.0,6.0,15.0,0.4,4.0,10.0,0.4,2.0,2.0,1.0,2.0,3.0,2.0,8.0
42300402,1610612738,201950,40:42,26.0,11.0,3.0,1.0,1.0,0.0,11.0,14.0,0.786,2.0,4.0,0.5,2.0,2.0,1.0,4.0,7.0,3.0,6.0
42300402,1610612738,204001,23:13,12.0,4.0,1.0,0.0,2.0,0.0,4.0,7.0,0.571,0.0,3.0,0.0,4.0,4.0,1.0,0.0,4.0,2.0,12.0
42300402,1610612738,1630573,10:18,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0
42300402,1610612738,1630202,12:01,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,4.0
42300402,1610612738,1629052,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1628436,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1629004,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1629674,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1630531,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1630214,,,,,,,,,,,,,,,,,,,,
42300402,1610612738,1641775,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1627759,41:28,30.0,8.0,8.0,0.0,1.0,3.0,12.0,22.0,0.545,2.0,9.0,0.222,4.0,5.0,0.8,1.0,7.0,3.0,13.0
42300403,1610612738,1628369,41:51,31.0,6.0,5.0,1.0,0.0,2.0,11.0,26.0,0.423,4.0,13.0,0.308,5.0,5.0,1.0,0.0,6.0,2.0,-4.0
42300403,1610612738,201143,36:47,8.0,5.0,2.0,2.0,1.0,2.0,3.0,6.0,0.5,2.0,5.0,0.4,0.0,0.0,0.0,0.0,5.0,1.0,-2.0
42300403,1610612738,1628401,41:36,16.0,5.0,4.0,0.0,2.0,1.0,4.0,10.0,0.4,4.0,9.0,0.444,4.0,4.0,1.0,0.0,5.0,4.0,3.0
42300403,1610612738,201950,41:35,9.0,4.0,5.0,1.0,0.0,0.0,4.0,9.0,0.444,1.0,3.0,0.333,0.0,0.0,0.0,3.0,1.0,4.0,1.0
42300403,1610612738,1630214,11:13,3.0,4.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0
42300403,1610612738,1630573,14:20,9.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,1.0,2.0,1.0,16.0
42300403,1610612738,1630202,11:11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0
42300403,1610612738,1629052,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1628436,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1629004,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1629674,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1630531,,,,,,,,,,,,,,,,,,,,
42300403,1610612738,1641775,,,,,,,,,,,,,,,,,,,,
42300403,1610612742,1627884,15:48,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,-6.0
42300403,1610612742,1629023,38:50,13.0,8.0,2.0,0.0,0.0,2.0,3.0,9.0,0.333,3.0,6.0,0.5,4.0,6.0,0.667,1.0,7.0,3.0,0.0
42300403,1610612742,1629655,16:17,6.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,-11.0
42300403,1610612742,202681,45:16,35.0,3.0,2.0,0.0,0.0,2.0,13.0,28.0,0.464,4.0,6.0,0.667,5.0,5.0,1.0,0.0,3.0,3.0,-3.0
42300403,1610612742,1629029,37:44,27.0,6.0,6.0,1.0,0.0,3.0,11.0,27.0,0.407,1.0,7.0,0.143,4.0,4.0,1.0,0.0,6.0,6.0,9.0
42300403,1610612742,1641726,29:59,11.0,13.0,1.0,2.0,0.0,0.0,5.0,6.0,0.833,0.0,0.0,0.0,1.0,1.0,1.0,3.0,10.0,0.0,6.0
42300403,1610612742,1630702,3:48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42300403,1610612742,1628467,8:05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-13.0
42300403,1610612742,203957,2:35,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0
42300403,1610612742,203501,19:26,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-16.0
42300403,1610612742,1630182,22:14,3.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0
42300403,1610612742,1630639,,,,,,,,,,,,,,,,,,,,
42300403,1610612742,202693,,,,,,,,,,,,,,,,,,,,
42300403,1610612742,203939,,,,,,,,,,,,,,,,,,,,
42300403,1610612742,1641765,,,,,,,,,,,,,,,,,,,,
42300404,1610612738,1627759,27:18,10.0,1.0,2.0,0.0,0.0,2.0,3.0,12.0,0.25,1.0,5.0,0.2,3.0,4.0,0.75,0.0,1.0,3.0,-28.0
42300404,1610612738,1628369,27:04,15.0,5.0,3.0,1.0,2.0,3.0,4.0,10.0,0.4,1.0,4.0,0.25,6.0,6.0,1.0,0.0,5.0,4.0,-33.0
42300404,1610612738,201143,23:29,3.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,-18.0
