PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GAMES_PLAYED,AVG_PTS,AVG_REB,AVG_AST,AVG_STL,AVG_BLK,AVG_PLUS_MINUS,AVG_EFFICIENCY,AVG_TRUE_SHOOTING,AVG_AST_TO_RATIO,AVG_THREE_POINT_RATE,AVG_FREE_THROW_RATE
202687,Bismack Biyombo,SAS,5,,,,,,,,,,,
203084,Harrison Barnes,SAS,5,0.0,1.0,0.5,0.0,0.0,-3.5,0.0,0.0,,1.0,0.5
203482,Kelly Olynyk,SAS,5,,,,,,,,,,,
203486,Mason Plumlee,SAS,5,,,,,,,,,,,
203903,Jordan Clarkson,NYK,5,3.5,1.5,0.25,0.25,0.0,3.75,2.0,0.3119047619047619,0.25,0.5047619047619047,0.0
1626157,Karl-Anthony Towns,NYK,5,13.0,10.6,2.4,1.4,1.0,8.8,20.8,0.5884943120354086,1.1733333333333333,0.24714285714285716,0.3066666666666667
1628368,De'Aaron Fox,SAS,5,12.8,3.0,6.0,1.4,0.8,-0.6,11.8,0.4351556494990601,2.7333333333333334,0.385467032967033,0.14624542124542123
1628384,OG Anunoby,NYK,5,21.2,4.8,1.0,1.4,1.4,-3.4,22.6,0.6957051047679258,0.6666666666666666,0.5186013986013986,0.4942191142191142
1628404,Josh Hart,NYK,5,7.6,9.8,4.6,1.4,0.4,7.6,17.6,0.43344849423022797,2.375,0.5690909090909091,0.24454545454545454
1628436,Luke Kornet,SAS,5,0.6,2.2,0.4,0.8,0.0,-4.4,3.2,0.3666989039329465,0.0,0.0,1.0
1628969,Mikal Bridges,NYK,5,10.4,3.6,3.4,0.6,0.4,6.6,12.8,0.5162797836554659,3.6666666666666665,0.4189743589743589,0.17333333333333334
1628973,Jalen Brunson,NYK,5,32.6,4.2,4.6,2.0,0.0,1.6,23.0,0.5318784699381195,1.2666666666666668,0.26991636798088414,0.32891756272401435
1629011,Mitchell Robinson,NYK,5,3.6,5.6,0.6,0.2,0.6,-7.2,6.6,0.4607255047227271,0.5,0.0,1.1933333333333334
1629013,Landry Shamet,NYK,5,6.8,2.0,1.0,0.0,0.4,-9.6,5.0,0.3617063492063492,,0.6726190476190477,0.0
1629162,Jordan McLaughlin,SAS,5,,,,,,,,,,,
1629640,Keldon Johnson,SAS,5,4.4,3.0,0.6,0.6,0.0,5.2,4.0,0.3990733247416728,1.0,0.36,0.34
1630170,Devin Vassell,SAS,5,12.8,6.8,2.8,0.6,0.4,-2.6,18.8,0.764921979941792,2.3333333333333335,0.7674242424242423,0.23888888888888887
1630322,Lindy Waters III,SAS,5,,,,,,,,,,,
1630540,Miles McBride,NYK,5,2.2,0.6,1.4,0.0,0.2,0.2,0.2,0.15714285714285714,0.5,0.8571428571428571,0.0
1630574,Ariel Hukporti,NYK,5,0.0,0.5,0.5,0.0,1.0,3.5,2.0,,,,
1630577,Julian Champagnie,SAS,5,11.0,5.4,1.8,1.2,0.4,-4.4,13.4,0.5835278054372302,0.25,0.8373737373737373,0.14747474747474748
1630631,Jose Alvarado,NYK,5,4.2,2.6,1.4,0.2,0.0,4.0,4.6,0.43426065162907274,2.0,0.51,0.15
1631110,Jeremy Sochan,NYK,5,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-0.3333333333333333,0.0,,0.0,0.0
1641705,Victor Wembanyama,SAS,5,26.0,11.2,2.6,1.0,3.6,1.6,28.0,0.5363884055303328,1.9583333333333333,0.3144594820384293,0.40863157894736846
1642264,Stephon Castle,SAS,5,14.6,5.4,4.2,0.6,0.2,-4.2,13.6,0.4988070405468039,1.6,0.3367857142857143,0.5164285714285713
1642278,Tyler Kolek,NYK,5,,,,,,,,,,,
1642359,Pacôme Dadiet,NYK,5,,,,,,,,,,,
1642844,Dylan Harper,SAS,5,18.0,6.4,3.0,0.4,0.2,-0.2,18.8,0.5977805967730963,1.1666666666666667,0.36099415204678365,0.2453801169590643
1642868,Carter Bryant,SAS,5,1.8,0.6,0.0,0.2,0.2,-1.0,1.8,0.8664302600472813,0.0,0.7777777777777778,0.6666666666666666
1642885,Mohamed Diawara,NYK,5,,,,,,,,,,,
